[05-May-2015 13:42:57 Europe/Berlin] PHP Parse error:  syntax error, unexpected '}' in D:\xampp\www\xphp\Controller\Controller.class.php on line 25
[05-May-2015 13:43:10 Europe/Berlin] PHP Fatal error:  Class 'Controller\Config' not found in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:43:23 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:43:23 Europe/Berlin] PHP Warning:  require(D:/xampp/www/xphp/Conf/default_view_group.php): failed to open stream: No such file or directory in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:43:23 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'D:/xampp/www/xphp/Conf/default_view_group.php' (include_path='.;D:\xampp\php\PEAR') in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:05 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:44:05 Europe/Berlin] PHP Warning:  require(D:/xampp/www/xphp/Conf/default_view_group.php): failed to open stream: No such file or directory in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:05 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'D:/xampp/www/xphp/Conf/default_view_group.php' (include_path='.;D:\xampp\php\PEAR') in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:05 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:44:05 Europe/Berlin] PHP Warning:  require(D:/xampp/www/xphp/Conf/default_view_group.php): failed to open stream: No such file or directory in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:05 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'D:/xampp/www/xphp/Conf/default_view_group.php' (include_path='.;D:\xampp\php\PEAR') in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:06 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:44:06 Europe/Berlin] PHP Warning:  require(D:/xampp/www/xphp/Conf/default_view_group.php): failed to open stream: No such file or directory in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:06 Europe/Berlin] PHP Fatal error:  require(): Failed opening required 'D:/xampp/www/xphp/Conf/default_view_group.php' (include_path='.;D:\xampp\php\PEAR') in D:\xampp\www\xphp\Core\Config.class.php on line 25
[05-May-2015 13:44:06 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:44:06 Europe/Berlin] PHP Warning:  require(D:/xampp/www/xphp/Conf/default_view_group.php): failed to open stream: No such file or directory in D:\xampp\www\xphp\Core\Config.class.php on line 25
